profile,size,repeat,order_position,seed,add_total_ms,add_per_record_ms,query_total_ms,query_per_record_ms,verify_total_ms,encrypt_per_record_ms,decrypt_per_record_ms,database_size_bytes
sqlite_aes,1000,6,3,2026,1098.1266,1.0981266,23.9133,0.0239133,9.0636,0.11025630000000013,0.009266299999999983,507904.0
sqlite,1000,7,1,2026,1050.0167,1.0500166999999998,14.5929,0.0145929,0.5939,0.0,0.0,401408.0
sqlite_aes,1000,7,2,2026,1115.6135,1.1156135,38.2029,0.0382029,20.5623,0.1311989,0.01485069999999999,507904.0
sqlite_aes_chain,1000,7,3,2026,12083.9353,12.083935299999998,81.046,0.081046,153.5323,nan,nan,1429504.0
sqlite_aes,1000,8,1,2026,724.2711,0.7242711000000001,31.5913,0.0315913,7.7365,0.07756850000000001,0.016207600000000013,503808.0
sqlite,1000,8,2,2026,621.9234,0.6219234,8.444,0.008444,0.1943,0.0,0.0,401408.0
sqlite_aes_chain,1000,8,3,2026,9060.1117,9.0601117,93.7064,0.0937064,186.151,nan,nan,1425408.0
sqlite,1000,9,1,2026,718.0195,0.7180195,8.209,0.008209,0.1855,0.0,0.0,401408.0
sqlite_aes,1000,9,2,2026,726.9686,0.7269686000000001,23.7129,0.023712900000000002,10.0364,0.07595649999999994,0.009451799999999986,503808.0
sqlite_aes_chain,1000,9,3,2026,9746.4821,9.7464821,70.9776,0.0709776,153.7148,nan,nan,1425408.0
sqlite_aes_chain,1000,10,1,2026,9764.6471,9.7646471,76.8811,0.07688110000000001,147.9012,nan,nan,1433600.0
sqlite_aes,1000,10,2,2026,872.5332,0.8725332,22.3967,0.0223967,10.2865,0.06853850000000009,0.008597699999999996,503808.0
sqlite,1000,10,3,2026,691.3761,0.6913760999999999,11.6705,0.0116705,0.2151,0.0,0.0,401408.0
sqlite_aes_chain,1000,11,1,2026,9855.101,9.855101000000001,64.0119,0.0640119,140.578,nan,nan,1429504.0
sqlite,1000,11,2,2026,766.182,0.766182,10.8579,0.0108579,0.164,0.0,0.0,401408.0
sqlite_aes,1000,11,3,2026,988.7596,0.9887596,31.2031,0.031203099999999998,9.5077,0.09209450000000015,0.0122738,507904.0
sqlite_aes,1000,12,1,2026,1036.3434,1.0363434,30.3444,0.0303444,9.3674,0.10217310000000002,0.012212699999999974,503808.0
sqlite,1000,12,2,2026,709.3054,0.7093054,7.8114,0.0078114,0.1653,0.0,0.0,401408.0
sqlite_aes_chain,1000,12,3,2026,11557.5124,11.5575124,95.1086,0.0951086,199.7449,nan,nan,1429504.0
sqlite_aes_chain,1000,13,1,2026,14401.925,14.401924999999999,86.2613,0.0862613,148.7119,nan,nan,1433600.0
